YTD: 01/01/2019 - 31/12/2019,,"NEW MOPEDS/MOTORCYLES OVER 50CC BY MAKE, YEAR TO DATE",,,,,,,,,,,,,
MAKE,MODEL,SUBMOD,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD
APRILIA,CAPONORD,1200 ABS,,,,,,,,1,,,,,1
APRILIA,CAPONORD,TOURING 1200 ABS,2,2,,1,,,1,,,,,,6
APRILIA,DORSODURO,9.00E+06,,,,,,1,,,,,,2,3
APRILIA,ETX,150,2,,1,,2,1,1,,1,,,,8
APRILIA,PEGASO,650 FACTORY,,,,,1,,,,,,,,1
APRILIA,RST,1000 FUTURA,,,1,,,,,,,,,,1
APRILIA,RSV4,RF,1,3,,,1,1,,1,,1,,1,9
APRILIA,RSV4,RR,,,,,,,1,,1,1,,1,4
APRILIA,RSV4 1100,RF,,,,,2,1,,1,,1,,,5
APRILIA,SHIVER,750 ABS,,,,,,,,,,1,,,1
APRILIA,SHIVER,9.00E+06,1,1,1,,,1,,,2,2,1,1,10
APRILIA,SR,MOTARD 125,1,2,1,,1,,1,,1,1,2,,10
APRILIA,SRV,850,,,,,1,,,,,,,,1
APRILIA,SRV,850 ABS,,,,,,,,,,,,1,1
APRILIA,STX,150,2,2,1,1,,1,,,,,,,7
APRILIA,TUONO,V4 FACTORY,3,1,1,3,1,2,1,,3,1,,3,19
APRILIA,TUONO,V4 FACTORY SAS,,,,,,4,,1,1,1,,1,8
APRILIA,TUONO,V4 RR,,,1,2,1,,,2,3,,4,2,15
BENELLI,502C,,,,,,,,,,,,1,1,2
BENELLI,BN302,,,,1,,,,,,,1,,,2
BENELLI,CAFFENERO,,,1,1,,,,,,1,,,,3
BENELLI,LEONCINO,,1,3,2,4,,,,2,2,,,,14
BENELLI,TNT,125,,1,,,,2,,2,2,2,,1,10
BENELLI,TRK,502,1,,,2,1,,,4,,2,,,10
BENELLI,TRK,502 X,,,,,,,,,,,,1,1
BETA,RR300,,,,,,2,,,,,,,,2
BETA,RR350,,,1,,,,,,,,,,,1
BETA,RR390,S,,,,,,,,,1,,,,1
BETA,RR400,ENDURO,,,,,1,,,,,,,,1
BIMOTA,YB11,,,,,,,,,,,1,,,1
BMW,C400,GT,,,,,,,,1,,,,,1
BMW,C400,X,,,,,1,,2,,,,,,3
BMW,F750,GS,6,2,,1,1,,,,3,9,,1,23
BMW,F800,GS,,,1,1,,,,,,,,,2
BMW,F800,GS ADVENTURE,,,,,1,,2,1,,1,,,5
BMW,F800,GT,,,,,1,,,,,,,,1
BMW,F800,R,,,,,1,,,,,,,,1
BMW,F850,GS,6,3,1,2,,1,,1,4,5,,,23
