,"DECEMBER 2021 YTD - NEW MOPEDS/MOTORCYLES OVER 50CC BY MAKE, YEAR TO DATE",,,,,,,,,,,,,,
MAKE,MODEL,SUBMOD,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD
APRILIA,DORSODURO,9.00E+06,,,1,1,,,,,,,,,2
APRILIA,ETX,150,1,1,,,1,1,,,,5,7,3,19
APRILIA,RS660,,,,,,,,6,6,2,6,1,2,23
APRILIA,RSV4,RF,,1,,,1,,,,,,,,2
APRILIA,RSV4,RR,,,2,4,2,2,1,,,1,,,12
APRILIA,RSV4 1100,RF,,,,,1,,,,1,,,,2
APRILIA,RSV4 1100,RF SAS,,,,,,,1,1,,,,,2
APRILIA,SHIVER,9.00E+06,1,1,,,1,1,1,,,,,,5
APRILIA,SR,MOTARD 125,,,,1,,,,,,,,,1
APRILIA,STX,150,,4,1,3,1,2,,,,,1,,12
APRILIA,TUONO,V4 FACTORY,1,1,3,1,,,,1,,1,,1,9
APRILIA,TUONO,V4 RR,1,1,,,,,,,,1,,,3
APRILIA,TUONO 660,,,,,,,,,,,3,2,1,6
APRILIA,TUONO V4,FACTORY E5,,,,,,,,,,11,2,2,15
BENELLI,502C,,7,1,1,3,4,,3,2,1,2,5,3,32
BENELLI,752,S,4,,1,,,,,,3,1,,,9
BENELLI,LEONCINO,,1,4,3,2,1,1,2,1,2,4,,1,22
BENELLI,TNT,135,3,3,5,2,3,,3,,,7,2,,28
BENELLI,TNT 600I,,,,,,,,,,,1,2,1,4
BENELLI,TRK,502,3,3,2,1,1,,1,1,3,2,1,3,21
BENELLI,TRK,502 X,3,2,6,3,2,1,1,,2,7,4,2,33
BETA,RR200,,,,1,,,,,,,,,,1
BETA,RR250,2T,,,,,,,,,1,,,,1
BETA,RR300,2T,,,,,,,,1,3,2,,,6
BETA,RR300,2T ENDURO,,,,,,1,,,,,,,1
BETA,RR350,4T,,,1,,,,,,,,,,1
BETA,RR390,,,,,1,,,,,,,,,1
BETA,RR390,4T,1,,,1,,,,,,2,1,,5
BETA,RR430,4T,,,1,,,,,,,3,,,4
BETA,RR480,4T,,1,,,,2,,,1,1,,,5
BETA,XTRAINER,,,1,,,1,,,,,,,,2
BETA,XTRAINER,300 2T,,,1,1,,1,1,,2,2,,1,9
BIMOTA,YB11,,,,,,1,,,,1,,,,2
BMW,C400,GT,,,,,1,,,1,,1,,,3
BMW,C400,X,,,,1,,,,,,,,,1
BMW,F750,GS,1,,,,1,1,1,,,2,2,,8
BMW,F800,GS,1,,,,,,,,,,,,1
BMW,F800,GS ADVENTURE,,,1,,,,,,,,,,1
BMW,F800,GT,,1,,,,,,,,,,,1
BMW,F850,GS,1,1,,,1,,,,2,1,,1,7
BMW,F850,GS ADVENTURE,1,,,,2,,1,1,,1,,,6
BMW,F900,R,,,1,1,1,,,,,,,,3
BMW,F900,XR,4,,1,,,,,,,,2,,7
BMW,G310,GS,,,4,1,2,,,,1,,2,3,13
BMW,G310,R,4,,4,4,6,3,3,1,5,6,6,2,44
BMW,G450,X,,,,,,,,,,1,,,1
BMW,K1600,GT,,,1,1,,,,,,,,,2
BMW,K1600,GTL,,,,1,,,,,,,,,1
BMW,R NINET,,1,1,,1,,,,,,,,,3
BMW,R NINET,K21,,,,1,,,,,,,1,1,3
BMW,R NINET,PURE,1,,1,,,,1,,,,,,3
BMW,R NINET,PURE K22,,,,,,,,,,,1,,1
BMW,R NINET,SCRAMBLER,1,,,,1,,,,,,,,2
BMW,R NINET,SCRAMBLER K23,,,,,,,,,,1,2,,3
BMW,R NINET,URBAN GS K23,,,,,,,,1,,,,,1
BMW,R1200,GS ADVENTURE,,,1,,,,,,,,,,1
BMW,R1250,GS,4,6,4,6,3,2,2,1,3,3,2,7,43
BMW,R1250,GS ADVENTURE,3,1,2,3,3,1,1,2,3,2,2,3,26
BMW,R1250,GS ZM14,,,,,,1,,,,,,,1
BMW,R1250,R,1,1,,,1,1,,,,,,1,5
BMW,R1250,RS,,1,,1,1,,1,,,,2,1,7
BMW,R1250,RT,,,,,1,2,,2,3,2,1,2,13
BMW,R18,CLASSIC K34,,,,2,,1,,,,,,,3
BMW,R18,K34,2,1,2,,,,1,,1,1,1,3,12
BMW,S1000,R,,1,,,,,,,2,2,3,2,10
BMW,S1000,RR,,,2,2,,1,1,,,1,,4,11
BMW,S1000,XR,1,1,2,,,1,,,1,,2,3,11
CFMOTO,150NK,,,,,,,,,,,3,1,,4
