date,name,category,value
2003-12-01,ROSSI Valentino,ITA,357
2003-12-01,GIBERNAU Sete,SPA, 277
2003-12-01,BIAGGI Max,ITA,228
2003-12-01,CAPIROSSI Loris,ITA,177 
2003-12-01,HAYDEN Nicky,USA,130
2003-12-01,BAYLISS Troy,AUS,128 
2003-12-01,CHECA Carlos,SPA,123
2003-12-01,UKAWA Tohru,JPN,123
2003-12-01,BARROS Alex,BRA,101
2003-12-01,NAKANO Shinya,JPN,101
2003-12-01,HONDA,JPN,395
2003-12-01,DUCATI,ITA,225
2003-12-01,YAMAHA,JPN,175
2003-12-01,APRILIA,ITA,81
2003-12-01,SUZUKI,JPN,43
2005-12-01,ROSSI Valentino,ITA,367
2005-12-01,MELANDRI Marco,ITA,220
2005-12-01,HAYDEN Nicky,USA,206
2005-12-01,EDWARDS Colin,USA,179
2005-12-01,BIAGGI Max,ITA,173
2005-12-01,CAPIROSSI Loris,ITA,157
2005-12-01,GIBERNAU Sete,SPA,150
2005-12-01,BARROS Alex,BRA,147
2005-12-01,CHECA Carlos,SPA,138
2005-12-01,NAKANO Shinya,JPN,98
2005-12-01,YAMAHA,JPN,381
2005-12-01,HONDA,JPN,341
2005-12-01,DUCATI,ITA,202
2005-12-01,KAWASAKI,JPN,126
2005-12-01,SUZUKI,JPN,100
2006-12-01,HAYDEN Nicky,USA,252
2006-12-01,ROSSI Valentino,ITA,247
2006-12-01,CAPIROSSI Loris,ITA,229
2006-12-01,MELANDRI Marco,ITA,228
2006-12-01,PEDROSA Dani,SPA,215
2006-12-01,ROBERTS JR Kenny,USA,134
2006-12-01,EDWARDS Colin,USA,124
2006-12-01,STONER Casey,AUS,119
2006-12-01,ELIAS Toni,SPA,116
2006-12-01,HOPKINS John,USA,116
2006-12-01,HONDA,JPN,360
2006-12-01,YAMAHA,JPN,289
2006-12-01,DUCATI,ITA,248
2006-12-01,SUZUKI,JPN,151
2006-12-01,KR211V,JPN,134
2007-12-01,STONER Casey,AUS,367,
2007-12-01,PEDROSA Dani,SPA,242,
2007-12-01,ROSSI Valentino,ITA,241,
2007-12-01,HOPKINS John,USA,189,
2007-12-01,MELANDRI Marco,ITA,187,
2007-12-01,VERMEULEN Chris,AUS,179,
2007-12-01,CAPIROSSI Loris,ITA,166,
2007-12-01,HAYDEN Nicky,USA,127,
2007-12-01,EDWARDS Colin,USA,124,
2007-12-01,BARROS Alex,BRA,115,
2007-12-01,DUCATI,ITA,394
2007-12-01,HONDA,JPN,313
2007-12-01,YAMAHA,JPN,283
2007-12-01,SUZUKI,JPN,241
2007-12-01,KAWASAKI,JPN,144
2009-12-01,ROSSI Valentino,ITA,306
2009-12-01,LORENZO Jorge,SPA,261
2009-12-01,PEDROSA Dani,SPA,234
2009-12-01,STONER Casey,AUS,220
2009-12-01,EDWARDS Colin,USA,161
2009-12-01,DOVIZIOSO Andrea,ITA,160
2009-12-01,ELIAS Toni,SPA,115
2009-12-01,DE ANGELIS Alex,RSM,111
2009-12-01,CAPIROSSI Loris,ITA,110
2009-12-01,MELANDRI Marco,ITA,108
2009-12-01,YAMAHA,JPN,386
2009-12-01,HONDA,JPN,297
2009-12-01,DUCATI,ITA,272
2009-12-01,SUZUKI,JPN,133
2009-12-01,KAWASAKI,JPN,108
2010-12-01,LORENZO Jorge,SPA,383
2010-12-01,PEDROSA Dani,SPA,245
2010-12-01,ROSSI Valentino,ITA,233
2010-12-01,STONER Casey,AUS,225
2010-12-01,DOVIZIOSO Andrea,ITA,206
2010-12-01,SPIES Ben,USA,176
2010-12-01,HAYDEN Nicky,USA,163
2010-12-01,SIMONCELLI Marco,ITA,125
2010-12-01,DE PUNIET Randy,FRA,116
2010-12-01,MELANDRI Marco,ITA,103
2010-12-01,YAMAHA,JPN,404
2010-12-01,HONDA,JPN,342
2010-12-01,DUCATI,ITA,286
2010-12-01,SUZUKI,JPN,108
2011-12-01,STONER Casey,AUS,350
2011-12-01,LORENZO Jorge,SPA,260
2011-12-01,DOVIZIOSO Andrea,ITA,228
2011-12-01,PEDROSA Dani,SPA,219
2011-12-01,SPIES Ben,USA,176
2011-12-01,SIMONCELLI Marco,ITA,139
2011-12-01,ROSSI Valentino,ITA,139
2011-12-01,HAYDEN Nicky,USA,132
2011-12-01,EDWARDS Colin,USA,109
2011-12-01,AOYAMA Hiroshi,JPN,98
2011-12-01,HONDA,JPN,405
2011-12-01,YAMAHA,JPN,325
2011-12-01,DUCATI,ITA,180
2011-12-01,SUZUKI,JPN,73
2012-12-01,LORENZO Jorge,SPA,350
2012-12-01,PEDROSA Dani,SPA,332
2012-12-01,STONER Casey,AUS,254
2012-12-01,DOVIZIOSO Andrea,ITA,218
2012-12-01,BAUTISTA Alvaro,SPA,178
2012-12-01,ROSSI Valentino,ITA,163
2012-12-01,CRUTCHLOW Cal,GBR,151
2012-12-01,BRADL Stefan,GER,135
2012-12-01,HAYDEN Nicky,USA,122
2012-12-01,SPIES Ben,USA,88
2012-12-01,HONDA,JPN,412
2012-12-01,YAMAHA,JPN,386
2012-12-01,DUCATI,ITA,192
2012-12-01,ART,FRA,100
2012-12-01,FTR,GBR,43
2013-12-01,MARQUEZ Marc,SPA,334
2013-12-01,LORENZO Jorge,SPA,330
2013-12-01,PEDROSA Dani,SPA,300
2013-12-01,ROSSI Valentino,ITA,237
2013-12-01,CRUTCHLOW Cal,GBR,188
2013-12-01,BAUTISTA Alvaro,SPA,171
2013-12-01,BRADL Stefan,GER,156
2013-12-01,DOVIZIOSO Andrea,ITA,140
2013-12-01,HAYDEN Nicky,USA,126
2013-12-01,SMITH Bradley,GBR,116
2013-12-01,HONDA,JPN,389
2013-12-01,YAMAHA,JPN,381
2013-12-01,DUCATI,ITA,155
2013-12-01,ART,FRA,99
2013-12-01,FTR KAWASAKI,JPN,46
2014-12-01,MARQUEZ Marc,SPA,362
2014-12-01,ROSSI Valentino,ITA,295
2014-12-01,LORENZO Jorge,SPA,263
2014-12-01,PEDROSA Dani,SPA,246
2014-12-01,DOVIZIOSO Andrea,ITA,187
2014-12-01,ESPARGARO Pol,SPA,136
2014-12-01,ESPARGARO Aleix,SPA,126
2014-12-01,SMITH Bradley,GBR,121
2014-12-01,BRADL Stefan,GER,117
2014-12-01,IANNONE Andrea,ITA,102
2014-12-01,HONDA,JPN,409
2014-12-01,YAMAHA,JPN,354
2014-12-01,DUCATI,ITA,211
2014-12-01,FORWARD YAMAHA,JPN,138
2014-12-01,ART,FRA,17
2015-12-01,LORENZO Jorge,SPA,330
